Time    Pdcmap    Quarter
     576.414970       0.988530       7.000000
     576.435403       0.988299       7.000000
     576.455835       0.988437       7.000000
     576.476268       0.988816       7.000000
     576.496701       0.988384       7.000000
     576.517134       0.988623       7.000000
     576.537567       0.988393       7.000000
     576.558000       0.988682       7.000000
     576.578433       0.988509       7.000000
     576.598866       0.988400       7.000000
     576.619299       0.988671       7.000000
     576.639732       0.988465       7.000000
     576.660165       0.988465       7.000000
     576.680598       0.988499       7.000000
     576.701031       0.988462       7.000000
     576.721464       0.988603       7.000000
     576.741897       0.988325       7.000000
     576.762330       0.988484       7.000000
     576.782763       0.988366       7.000000
     576.803195       0.988450       7.000000
     576.823628       0.988593       7.000000
     576.844061       0.988639       7.000000
     576.864494       0.988382       7.000000
     576.884927       0.988564       7.000000
     576.905360       0.988514       7.000000
     576.925793       0.988588       7.000000
     576.946226       0.988482       7.000000
     576.966659       0.988119       7.000000
     576.987092       0.988507       7.000000
     577.007525       0.988116       7.000000
     577.027958       0.988450       7.000000
     577.048391       0.988400       7.000000
     577.068824       0.988871       7.000000
     577.089257       0.989007       7.000000
     577.109690       0.988709       7.000000
     577.130122       0.988349       7.000000
     577.150555       0.988606       7.000000
     577.191421       0.988497       7.000000
     577.211854       0.988602       7.000000
     577.232287       0.988431       7.000000
     577.252720       0.988648       7.000000
     577.273153       0.988433       7.000000
     577.293586       0.988647       7.000000
     577.314019       0.988734       7.000000
     577.334452       0.988768       7.000000
     577.354885       0.988323       7.000000
     577.375318       0.988726       7.000000
     577.395751       0.988913       7.000000
     577.416184       0.988518       7.000000
     577.436616       0.988381       7.000000
     577.457050       0.988670       7.000000
     577.477482       0.988519       7.000000
     577.497915       0.988746       7.000000
     577.518348       0.988563       7.000000
     577.538781       0.988592       7.000000
     577.559214       0.988508       7.000000
     577.579647       0.988572       7.000000
     577.600080       0.988411       7.000000
     577.620513       0.988654       7.000000
     577.640946       0.988552       7.000000
     577.661379       0.988188       7.000000
     577.681812       0.988602       7.000000
     577.702245       0.988103       7.000000
     577.722678       0.988436       7.000000
     577.743111       0.988571       7.000000
     577.763544       0.988492       7.000000
     577.783976       0.988399       7.000000
     577.804409       0.988819       7.000000
     577.824842       0.988450       7.000000
     577.845275       0.988855       7.000000
     577.865708       0.988687       7.000000
     577.886141       0.988548       7.000000
     577.906574       0.988878       7.000000
     577.927007       0.988568       7.000000
     577.947440       0.988589       7.000000
     577.967873       0.988542       7.000000
     577.988306       0.988572       7.000000
     578.008739       0.988591       7.000000
     578.029172       0.988738       7.000000
     578.049605       0.988348       7.000000
     578.070038       0.988564       7.000000
     578.090471       0.988580       7.000000
     578.110903       0.988299       7.000000
     578.131336       0.988507       7.000000
     578.151769       0.988432       7.000000
     578.172202       0.988657       7.000000
     578.192635       0.988637       7.000000
     578.213068       0.988669       7.000000
     578.233501       0.988670       7.000000
     578.253934       0.988641       7.000000
     578.274367       0.988374       7.000000
     578.294800       0.988319       7.000000
     578.315233       0.988579       7.000000
     578.335666       0.988556       7.000000
     578.356099       0.988347       7.000000
     578.376532       0.988393       7.000000
     578.396964       0.988601       7.000000
     578.417397       0.988533       7.000000
     578.437830       0.988744       7.000000
     578.458263       0.988450       7.000000
     578.478696       0.988379       7.000000
     578.499129       0.988264       7.000000
     578.519562       0.988316       7.000000
     578.539995       0.988628       7.000000
     578.560428       0.988475       7.000000
     578.580861       0.988486       7.000000
     578.601294       0.988479       7.000000
     578.621727       0.988587       7.000000
     578.642160       0.988442       7.000000
     578.662593       0.988691       7.000000
     578.683026       0.988328       7.000000
     578.703459       0.988606       7.000000
     578.723892       0.988648       7.000000
     578.744324       0.988445       7.000000
     578.764757       0.988319       7.000000
     578.785190       0.988510       7.000000
     578.805623       0.988319       7.000000
     578.826056       0.988516       7.000000
     578.846489       0.988622       7.000000
     578.866922       0.988521       7.000000
     578.887355       0.988401       7.000000
     578.907788       0.988571       7.000000
     578.928221       0.988576       7.000000
     578.948654       0.988736       7.000000
     578.969087       0.988528       7.000000
     578.989520       0.988612       7.000000
     579.009953       0.988414       7.000000
     579.030385       0.988350       7.000000
     579.050818       0.988080       7.000000
     579.071251       0.988338       7.000000
     579.091684       0.988504       7.000000
     579.112117       0.988365       7.000000
     579.132550       0.988729       7.000000
     579.152983       0.988713       7.000000
     579.173416       0.988598       7.000000
     579.193849       0.988503       7.000000
     579.214282       0.988349       7.000000
     579.234715       0.988573       7.000000
     579.255148       0.988369       7.000000
     579.275581       0.988369       7.000000
     579.296014       0.988177       7.000000
     579.316446       0.988507       7.000000
     579.336879       0.988503       7.000000
     579.357312       0.988518       7.000000
     579.377745       0.988337       7.000000
     579.398178       0.988661       7.000000
     579.418611       0.988410       7.000000
     579.439044       0.988489       7.000000
     579.459477       0.988611       7.000000
     579.479910       0.988556       7.000000
     579.500343       0.988608       7.000000
     579.520776       0.988348       7.000000
     579.541209       0.988674       7.000000
     579.561642       0.988783       7.000000
     579.582075       0.988449       7.000000
     579.602507       0.988269       7.000000
     579.622940       0.988653       7.000000
     579.643373       0.988391       7.000000
     579.663806       0.988341       7.000000
     579.684239       0.988637       7.000000
     579.704672       0.988423       7.000000
     579.725105       0.988301       7.000000
     579.745538       0.988229       7.000000
     579.765971       0.988509       7.000000
     579.786404       0.988188       7.000000
     579.806837       0.988334       7.000000
     579.827270       0.988668       7.000000
     579.847703       0.988535       7.000000
     579.868136       0.988428       7.000000
     579.888568       0.988490       7.000000
     579.909001       0.988507       7.000000
     579.929434       0.988597       7.000000
     579.949867       0.988417       7.000000
     579.970300       0.988168       7.000000
     579.990733       0.988620       7.000000
     580.011166       0.988145       7.000000
     580.031599       0.988525       7.000000
     580.052032       0.988551       7.000000
     580.072465       0.988334       7.000000
     580.092898       0.988469       7.000000
     580.113331       0.988331       7.000000
     580.133764       0.988680       7.000000
     580.174629       0.988660       7.000000
     580.195062       0.988209       7.000000
     580.215495       0.988432       7.000000
     580.235928       0.988479       7.000000
     580.256361       0.988523       7.000000
     580.276794       0.988475       7.000000
     580.297227       0.988610       7.000000
     580.317660       0.988343       7.000000
     580.338093       0.988438       7.000000
     580.358526       0.988524       7.000000
     580.378959       0.988490       7.000000
     580.399392       0.988256       7.000000
     580.419825       0.988334       7.000000
     580.440258       0.988233       7.000000
     580.460690       0.988308       7.000000
     580.481123       0.988518       7.000000
     580.501556       0.988564       7.000000
     580.521989       0.988503       7.000000
     580.542422       0.988909       7.000000
     580.562855       0.988440       7.000000
     580.583288       0.988564       7.000000
     580.603721       0.988345       7.000000
     580.624154       0.988574       7.000000
     580.644587       0.988250       7.000000
     580.665020       0.988548       7.000000
     580.685453       0.988397       7.000000
     580.705886       0.988316       7.000000
     580.726318       0.988501       7.000000
     580.746751       0.988573       7.000000
     580.767184       0.988409       7.000000
     580.787617       0.988258       7.000000
     580.808050       0.988393       7.000000
     580.828483       0.988265       7.000000
     580.848916       0.988508       7.000000
     580.869349       0.988389       7.000000
     580.889782       0.988436       7.000000
     580.910215       0.988250       7.000000
     580.930648       0.988623       7.000000
     580.951081       0.988191       7.000000
     580.971513       0.988350       7.000000
     580.991946       0.988420       7.000000
     581.012379       0.988559       7.000000
     581.032812       0.988558       7.000000
     581.053245       0.988264       7.000000
     581.073678       0.988361       7.000000
     581.094111       0.988314       7.000000
     581.114544       0.988182       7.000000
     581.134977       0.988235       7.000000
     581.155410       0.988198       7.000000
     581.175843       0.988439       7.000000
     581.196276       0.988497       7.000000
     581.216709       0.988325       7.000000
     581.237142       0.988532       7.000000
     581.257574       0.988737       7.000000
     581.278007       0.988539       7.000000
     581.298440       0.988749       7.000000
     581.318873       0.988351       7.000000
     581.339306       0.988488       7.000000
     581.359739       0.988438       7.000000
     581.380172       0.988390       7.000000
     581.400605       0.988425       7.000000
